dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
73856,Dog_Detail?DogID=73856,SPLENDID THREE COLOR VANKUVER,Dog_Detail?DogID=73856,,RKF 1903317 (RKF),"May 17, 2006",,,,,,,,,,,,,,,
134695,Dog_Detail?DogID=134695,SPLENDID THREE COLOR VIK,Dog_Detail?DogID=134695,,RKF 1903316 (RKF),"May 17, 2006",,,,,,,,,,,,,,,
156070,Dog_Detail?DogID=156070,SPLENDID THREE COLOR ZHEAN GABIN,Dog_Detail?DogID=156070,SOLO,"PKR.II-127300 (ZKWP), RKF4595983 (RKF)","Jul 17, 2016",,,,,,,,,,,,,,,
9035,Dog_Detail?DogID=9035,CALABEL MARSET NIGHT MUSIC,Dog_Detail?DogID=9035,BEAR,WP36088004 (AKC),"Jun 16, 1991",,,,,,,,,,,,,,,
9034,Dog_Detail?DogID=9034,CALABEL'S CUSTOM MAIL,Dog_Detail?DogID=9034,MAIDY,WP36088003 (AKC),"Jun 16, 1991",,,,,,,,,,,,,,,
7374,Dog_Detail?DogID=7374,CALABEL'S FEEL MY THUNDER,Dog_Detail?DogID=7374,THUNDER,WP36088001 (AKC),"Jun 16, 1991",,,,,,,,,,,,,,,
9033,Dog_Detail?DogID=9033,CALABEL'S PROGRESSIVE JAZZ,Dog_Detail?DogID=9033,PJ,WP36088002 (AKC),"Jun 16, 1991",,,,,,,,,,,,,,,
7277,Dog_Detail?DogID=7277,VALMONT JULEN WALLIS MONTANA,Dog_Detail?DogID=7277,,WG412396 (AKC),"Dec 12, 1989",,,,,,,,,,,,,,,
7718,Dog_Detail?DogID=7718,VALMONT TRAVELER OF SKYLANDS,Dog_Detail?DogID=7718,MONTY,WG430649 (AKC),"Dec 12, 1989",,,,,,,,,,,,,,,
39139,Dog_Detail?DogID=39139,VALMONT'S AMAZING STYLE,Dog_Detail?DogID=39139,MAZIE,WR01009903 (AKC),"Jan 10, 2001","Jul 9, 2007",,,,,,,,,,,,,,
39137,Dog_Detail?DogID=39137,VALMONTS BLUEBERRY CRISP,Dog_Detail?DogID=39137,BLU,WR01009902 (AKC),"Jan 10, 2001","Dec 21, 2009",,,,,,,,,,,,,,
4774,Dog_Detail?DogID=4774,VALMONT'S BRANDYWINE VELVET,Dog_Detail?DogID=4774,VELVET,WG435972 (AKC),"Dec 12, 1989",,,,,,,,,,,,,,,
39138,Dog_Detail?DogID=39138,VALMONT'S GRACIOUS KEEPSAKE,Dog_Detail?DogID=39138,GRAZIE,WR01009904 (AKC),"Jan 10, 2001","Sep 18, 2009",,,,,,,,,,,,,,
7120,Dog_Detail?DogID=7120,VALMONT'S MUSIC OF THE NIGHT,Dog_Detail?DogID=7120,,"WG413707 (AKC), 1034931 (CKC)","Dec 12, 1989",,,,,,,,,,,,,,,
39136,Dog_Detail?DogID=39136,VALMONT'S RASPBERRY DELIGHT,Dog_Detail?DogID=39136,RUBY,WR01009901 (AKC),"Jan 10, 2001","Feb 7, 2009",,,,,,,,,,,,,,
44995,Dog_Detail?DogID=44995,ADDY,Dog_Detail?DogID=44995,ADDY,WS19970407,"Dec 22, 2006","Jan 18, 2021",,,,,,,,,,,,,,
52597,Dog_Detail?DogID=52597,GWEEBARRA  FULL THROTTLE V  CC,Dog_Detail?DogID=52597,CRUISE,WP96354701 (AKC),"Feb 18, 2000","Jan 26, 2008",V164263 (AKC),,,,,,,,,,,,,
57823,Dog_Detail?DogID=57823,GWEEBARRA  KAISER DANTE,Dog_Detail?DogID=57823,KAISER,WS25715807 (AKC),"Feb 25, 2008",,,,,,,,,,,,,,,
12264,Dog_Detail?DogID=12264,GWEEBARRA ASTION OF KODIAK,Dog_Detail?DogID=12264,KODI,WP51259113 (AKC),"Oct 11, 1993","Jun 25, 2003",,,,,,,,,,,,,,
15608,Dog_Detail?DogID=15608,GWEEBARRA CANDLE IN THE WIND,Dog_Detail?DogID=15608,NORMA JEAN,WP75970802 (AKC),"Jan 11, 1997","May 12, 2008",P37237 (AKC),,,,,,,,,,,,,
52589,Dog_Detail?DogID=52589,GWEEBARRA DYNAMIC DUDE,Dog_Detail?DogID=52589,,WP84155003 (AKC),"Feb 24, 1998",,,,,,,,,,,,,,,
12261,Dog_Detail?DogID=12261,GWEEBARRA GRETA V ADLERHORST,Dog_Detail?DogID=12261,GRETA,WP51259117 (AKC),"Oct 11, 1993","Aug 25, 2007",,,,,,,,,,,,,,
